Date,Open,High,Low,Close,Adj Close,Volume
2022-07-21,29.0,31.5,28.899999618530273,30.25,30.25,3026
2022-07-22,30.25,30.25,27.75,28.5,28.5,2636
2022-07-25,28.5,28.700000762939453,26.5,28.0,28.0,2590
2022-07-26,27.5,27.75,25.649999618530273,25.799999237060547,25.799999237060547,2856
2022-07-27,24.0,25.200000762939453,23.0,24.5,24.5,5264
2022-07-28,24.75,25.200000762939453,23.049999237060547,23.200000762939453,23.200000762939453,3732
2022-07-29,24.0,25.0,23.049999237060547,24.350000381469727,24.350000381469727,2388
2022-08-01,24.950000762939453,30.299999237060547,24.5,25.100000381469727,25.100000381469727,27372
2022-08-02,24.75,27.649999618530273,23.5,24.25,24.25,12784
2022-08-03,24.0,25.200000762939453,23.049999237060547,24.149999618530273,24.149999618530273,7548
2022-08-04,24.5,25.700000762939453,24.0,25.299999237060547,25.299999237060547,4572
2022-08-05,23.549999237060547,26.299999237060547,23.549999237060547,25.100000381469727,25.100000381469727,5796
2022-08-08,25.299999237060547,26.0,24.75,26.0,26.0,2062
2022-08-09,25.850000381469727,26.5,23.850000381469727,24.5,24.5,4030
2022-08-10,25.200000762939453,40.0,22.149999618530273,22.5,22.5,229168
2022-08-11,24.549999237060547,25.850000381469727,22.5,24.25,24.25,31542
2022-08-12,24.450000762939453,24.5,22.75,23.399999618530273,23.399999618530273,16482
2022-08-15,23.350000381469727,25.600000381469727,23.0,24.700000762939453,24.700000762939453,14346
2022-08-16,23.649999618530273,23.700000762939453,22.0,23.049999237060547,23.049999237060547,13858
2022-08-17,22.5,22.950000762939453,21.299999237060547,21.850000381469727,21.850000381469727,6698
2022-08-18,22.0,22.549999237060547,21.649999618530273,21.899999618530273,21.899999618530273,3074
2022-08-19,22.75,22.75,20.75,21.049999237060547,21.049999237060547,6582
2022-08-22,20.899999618530273,21.049999237060547,19.399999618530273,19.75,19.75,5330
2022-08-23,19.75,21.0,19.149999618530273,20.75,20.75,4008
2022-08-24,20.149999618530273,21.0,20.149999618530273,20.700000762939453,20.700000762939453,1750
2022-08-25,21.200000762939453,22.450000762939453,20.149999618530273,21.600000381469727,21.600000381469727,8004
2022-08-26,21.5,21.700000762939453,20.149999618530273,20.149999618530273,20.149999618530273,5130
2022-08-29,20.299999237060547,20.399999618530273,19.5,20.0,20.0,2652
2022-08-30,21.200000762939453,23.799999237060547,19.5,22.0,22.0,16904
2022-08-31,21.350000381469727,22.350000381469727,19.850000381469727,20.850000381469727,20.850000381469727,7068
2022-09-01,19.600000381469727,20.549999237060547,18.549999237060547,19.600000381469727,19.600000381469727,8608
2022-09-02,18.25,20.5,18.0,19.049999237060547,19.049999237060547,1962
2022-09-06,19.0,20.850000381469727,18.5,19.049999237060547,19.049999237060547,7010
2022-09-07,19.049999237060547,20.299999237060547,18.549999237060547,19.649999618530273,19.649999618530273,1572
2022-09-08,19.399999618530273,20.0,18.549999237060547,19.600000381469727,19.600000381469727,2322
2022-09-09,19.700000762939453,20.200000762939453,19.5,19.5,19.5,3292
2022-09-12,19.75,22.399999618530273,19.600000381469727,21.299999237060547,21.299999237060547,5388
2022-09-13,21.0,21.299999237060547,19.799999237060547,20.100000381469727,20.100000381469727,2796
2022-09-14,19.649999618530273,21.799999237060547,19.200000762939453,19.200000762939453,19.200000762939453,6274
2022-09-15,20.149999618530273,20.350000381469727,18.950000762939453,18.950000762939453,18.950000762939453,4614
2022-09-16,19.899999618530273,20.0,18.25,18.25,18.25,4450
2022-09-19,18.0,19.200000762939453,17.5,17.700000762939453,17.700000762939453,6752
2022-09-20,18.0,18.5,15.0,16.850000381469727,16.850000381469727,7472
2022-09-21,17.5,18.5,16.5,16.75,16.75,3546
2022-09-22,17.25,18.899999618530273,15.800000190734863,16.200000762939453,16.200000762939453,7412
2022-09-23,16.200000762939453,16.899999618530273,15.5,16.0,16.0,2012
2022-09-26,16.549999237060547,17.5,15.600000381469727,15.600000381469727,15.600000381469727,654
2022-09-27,15.5,16.5,15.5,15.550000190734863,15.550000190734863,1070
2022-09-28,15.5,15.600000381469727,15.25,15.449999809265137,15.449999809265137,1694
2022-09-29,15.399999618530273,15.600000381469727,14.550000190734863,15.050000190734863,15.050000190734863,2490
2022-09-30,15.199999809265137,15.600000381469727,15.0,15.0,15.0,1522
2022-10-03,15.0,15.5,14.649999618530273,15.100000381469727,15.100000381469727,1960
2022-10-04,14.0,16.350000381469727,14.0,16.25,16.25,3580
2022-10-05,16.350000381469727,17.100000381469727,16.350000381469727,16.5,16.5,2118
2022-10-06,18.0,18.0,15.850000381469727,15.850000381469727,15.850000381469727,752
2022-10-07,15.600000381469727,17.25,15.0,15.100000381469727,15.100000381469727,1730
2022-10-10,15.850000381469727,16.450000762939453,15.100000381469727,15.25,15.25,1348
2022-10-11,15.550000190734863,17.049999237060547,15.100000381469727,15.5,15.5,2560
2022-10-12,15.050000190734863,15.949999809265137,13.949999809265137,14.600000381469727,14.600000381469727,3596
2022-10-13,14.850000381469727,15.25,14.5,14.5,14.5,1566
2022-10-14,14.75,16.350000381469727,14.550000190734863,14.850000381469727,14.850000381469727,2512
2022-10-17,14.5,15.800000190734863,14.300000190734863,15.350000381469727,15.350000381469727,666
2022-10-18,15.5,15.800000190734863,14.149999618530273,15.399999618530273,15.399999618530273,2634
2022-10-19,15.0,15.399999618530273,14.5,14.600000381469727,14.600000381469727,936
2022-10-20,16.0,16.0,15.0,15.199999809265137,15.199999809265137,844
2022-10-21,15.0,15.75,14.800000190734863,14.800000190734863,14.800000190734863,996
2022-10-24,15.0,16.0,14.5,14.75,14.75,2028
2022-10-25,15.0,16.25,14.649999618530273,15.5,15.5,3752
2022-10-26,15.649999618530273,17.0,15.449999809265137,16.899999618530273,16.899999618530273,3730
2022-10-27,17.0,17.0,14.300000190734863,14.850000381469727,14.850000381469727,3916
2022-10-28,15.699999809265137,16.0,14.550000190734863,15.300000190734863,15.300000190734863,1792
2022-10-31,15.0,16.25,14.550000190734863,15.100000381469727,15.100000381469727,2140
2022-11-01,15.199999809265137,15.949999809265137,14.5,14.949999809265137,14.949999809265137,5964
2022-11-02,14.5,15.0,14.25,14.25,14.25,2322
2022-11-03,14.25,14.850000381469727,14.0,14.399999618530273,14.399999618530273,1830
2022-11-04,13.600000381469727,14.699999809265137,13.600000381469727,14.0,14.0,1368
2022-11-07,14.5,14.5,12.949999809265137,13.149999618530273,13.149999618530273,3722
2022-11-08,13.100000381469727,13.100000381469727,11.449999809265137,11.5,11.5,6084
2022-11-09,12.600000381469727,12.600000381469727,10.0,10.0,10.0,6600
2022-11-10,10.149999618530273,12.449999809265137,10.149999618530273,11.050000190734863,11.050000190734863,2054
2022-11-11,11.25,12.449999809265137,10.899999618530273,11.649999618530273,11.649999618530273,3070
2022-11-14,12.0,12.0,11.050000190734863,12.0,12.0,5398
2022-11-15,12.0,12.5,11.550000190734863,11.800000190734863,11.800000190734863,1242
2022-11-16,11.800000190734863,12.0,11.0,11.050000190734863,11.050000190734863,2174
2022-11-17,11.0,11.600000381469727,10.300000190734863,10.600000381469727,10.600000381469727,2154
2022-11-18,11.0,11.5,10.5,10.800000190734863,10.800000190734863,3280
2022-11-21,11.800000190734863,12.300000190734863,10.0,10.050000190734863,10.050000190734863,5590
2022-11-22,10.050000190734863,10.800000190734863,7.599999904632568,8.699999809265137,8.699999809265137,9252
2022-11-23,9.0,9.0,7.400000095367432,8.0,8.0,34012
2022-11-25,8.0,8.5,7.0,7.550000190734863,7.550000190734863,3950
2022-11-28,7.550000190734863,8.5,7.400000095367432,7.449999809265137,7.449999809265137,3652
2022-11-29,6.949999809265137,8.300000190734863,6.949999809265137,7.550000190734863,7.550000190734863,9106
2022-11-30,7.550000190734863,9.449999809265137,7.5,7.75,7.75,10008
2022-12-01,7.550000190734863,8.25,7.550000190734863,7.849999904632568,7.849999904632568,3398
2022-12-02,7.75,8.5,7.050000190734863,7.699999809265137,7.699999809265137,4890
2022-12-05,8.100000381469727,8.850000381469727,7.699999809265137,7.849999904632568,7.849999904632568,3878
2022-12-06,8.5,8.5,7.25,7.449999809265137,7.449999809265137,3950
2022-12-07,7.5,7.599999904632568,7.0,7.150000095367432,7.150000095367432,3172
2022-12-08,7.050000190734863,7.650000095367432,7.050000190734863,7.099999904632568,7.099999904632568,1756
2022-12-09,7.5,7.800000190734863,6.949999809265137,7.0,7.0,3452
2022-12-12,7.5,8.25,7.150000095367432,7.949999809265137,7.949999809265137,5238
2022-12-13,8.25,8.25,7.300000190734863,7.699999809265137,7.699999809265137,2664
2022-12-14,7.75,11.0,7.5,8.850000381469727,8.850000381469727,59934
2022-12-15,8.5,8.5,7.150000095367432,7.5,7.5,13114
2022-12-16,7.5,8.399999618530273,6.5,6.5,6.5,9596
2022-12-19,7.099999904632568,7.300000190734863,6.300000190734863,6.400000095367432,6.400000095367432,5776
2022-12-20,6.400000095367432,7.0,6.199999809265137,6.400000095367432,6.400000095367432,18956
2022-12-21,6.5,6.5,5.400000095367432,5.449999809265137,5.449999809265137,50810
2022-12-22,5.449999809265137,6.5,5.400000095367432,5.75,5.75,102472
2022-12-23,6.5,6.769999980926514,5.510000228881836,6.139999866485596,6.139999866485596,718500
2022-12-27,5.940000057220459,6.289999961853027,5.5,6.039999961853027,6.039999961853027,51600
2022-12-28,6.199999809265137,6.590000152587891,5.809999942779541,6.400000095367432,6.400000095367432,54300
2022-12-29,7.699999809265137,9.630000114440918,6.75,7.679999828338623,7.679999828338623,531100
2022-12-30,7.579999923706055,7.579999923706055,5.960000038146973,6.739999771118164,6.739999771118164,165400
